,FERAID,NGS Run Number,BIOSYS site ID,Season,Dataset,SPT_Name,Conductivity,N_NH4,N_NO3,P_PO4,Alkalinity,pH,TotalRead,NonPlankRead,NoBlast Hit,% No Blast Hit of total count,NGS_TDI,LM_TDI4,LM_TDI5,Northing,Easting,Lon,Lat
59,3125,Diatom5,1757,Aut,2016,ALLENSFORD,183.2215913,0.014318257,0.656200484,0.009003237,39.8166666,7.81249996,24898,24873,8482,34.10123427,51.54719168,35.37012987,34.94230769,550269,407745,54.84717023,-1.880912577
60,3141,Diatom1,1758,Spr,2016,EDDYS BRIDGE,149.7565519,0.019431463,0.565414662,0.005566487,37.63636364,7.769090869,18345,18337,11623,63.38550472,30.7824962,30.67204301,27.86057692,550906,403899,54.85293839,-1.940798279
61,2431,Diatom3,1758,Aut,2016,EDDYS BRIDGE,149.7565519,0.019431463,0.565414662,0.005566487,37.63636364,7.769090869,67294,67016,29302,43.72388683,58.03048002,32.77613412,32.0113852,550906,403899,54.85293839,-1.940798279
62,3138,Diatom1,1759,Spr,2016,RUFFSIDE,136.3129749,0.019702995,0.288978068,0.008448194,39.05882353,7.86628576,28585,28585,18544,64.87318524,24.71769811,24.76038339,23.64329268,551395,398333,54.85734386,-2.027493465
63,3112,Diatom5,1759,Aut,2016,RUFFSIDE,136.3129749,0.019702995,0.288978068,0.008448194,39.05882353,7.86628576,21396,21396,9926,46.39184894,24.02505264,27.76282051,25.40432802,551395,398333,54.85734386,-2.027493465
64,2600,Diatom1,1793,Spr,2016,U/S SOUTH TYNE,370.0119517,0.032833901,0.435882857,0.017449049,95.21212121,7.64121216,10521,10487,6010,57.3090493,53.16076329,51.87702265,51.79032258,563165,369819,54.96219529,-2.472886095
65,2613,Diatom3,1793,Aut,2016,U/S SOUTH TYNE,370.0119517,0.032833901,0.435882857,0.017449049,95.21212121,7.64121216,59239,59202,26459,44.69274687,58.73708722,46.63907285,45.330033,563165,369819,54.96219529,-2.472886095
66,2882,Diatom2,1798,Spr,2016,ALSTON (NENT),250.3370123,0.01988263,0.218879474,0.008643918,79.26315789,7.889302331,60135,60133,24726,41.11885321,32.3727382,33.66242038,33.74203822,546786,371632,54.81511957,-2.442953685
67,2614,Diatom3,1798,Aut,2016,ALSTON (NENT),250.3370123,0.01988263,0.218879474,0.008643918,79.26315789,7.889302331,56557,56557,23922,42.29715155,31.08226586,36.49659864,34.39102564,546786,371632,54.81511957,-2.442953685
68,3020,Diatom2,8701,Spr,2016,MORESK LAUNDRY BRIDGE,273.294514,0.035407433,5.011152006,0.021601772,45.91666667,7.537499984,67773,67611,9674,14.30832261,60.18817785,70.70175439,68.99665552,45050,182680,50.26534407,-5.050692426
69,2833,Diatom4,8701,Aut,2016,MORESK LAUNDRY BRIDGE,273.294514,0.035407433,5.011152006,0.021601772,45.91666667,7.537499984,34952,34908,12088,34.62816546,55.05625544,65.98372781,60.55959302,45050,182680,50.26534407,-5.050692426
70,3076,Diatom2,8743,Spr,2016,TRENDEAL,260.262426,0.065611578,4.90327032,0.02719747,40.28571429,7.397142853,32091,32081,11492,35.821826,50.25291022,53.27639752,51.96646341,52820,188660,50.33729932,-4.971253141
71,2435,Diatom3,8743,Aut,2016,TRENDEAL,260.262426,0.065611578,4.90327032,0.02719747,40.28571429,7.397142853,27233,27170,15939,58.66396761,50.13017351,54.55035971,48.86363636,52820,188660,50.33729932,-4.971253141
72,2620,Diatom2,8791,Spr,2016,CANDOR FORD,264.5113425,0.038913771,6.25369256,0.025019968,39.91666667,7.460833271,36438,36398,15642,42.97488873,36.19267559,52.37980769,51.8768546,49020,187380,50.30271056,-4.987073074
73,2706,Diatom3,8791,Aut,2016,CANDOR FORD,264.5113425,0.038913771,6.25369256,0.025019968,39.91666667,7.460833271,52852,52536,21138,40.23526725,55.21215412,55.68181818,52.62345679,49020,187380,50.30271056,-4.987073074
74,2619,Diatom2,8802,Spr,2016,TRESOWGA BRIDGE,282.7420422,0.046555185,5.130191392,0.034632019,43.60606061,7.528787902,41660,41631,17691,42.49477553,46.23624462,42.86713287,41.57051282,48120,188530,50.29504106,-4.970443389
75,2427,Diatom3,8802,Aut,2016,TRESOWGA BRIDGE,282.7420422,0.046555185,5.130191392,0.034632019,43.60606061,7.528787902,31785,31782,13823,43.49317224,63.08305791,75.80792683,67.62048193,48120,188530,50.29504106,-4.970443389
76,2892,Diatom2,8813,Spr,2016,LADOCK WATER PUMPING STATION,260.262426,0.065611578,4.90327032,0.02719747,40.28571429,7.397142853,16172,16121,5210,32.31809441,50.28422204,53.2983871,52.18167702,51140,189270,50.32242944,-4.961754222
77,2434,Diatom3,8813,Aut,2016,LADOCK WATER PUMPING STATION,260.262426,0.065611578,4.90327032,0.02719747,40.28571429,7.397142853,34221,34149,15382,45.04377873,60.14232004,58.63564669,56.20030581,51140,189270,50.32242944,-4.961754222
78,2918,Diatom2,8858,Spr,2016,LIFTON BRIDGE,153.0875768,0.030345335,1.332832165,0.014463472,32.25,7.56964285,31939,31874,12867,40.36832528,47.14949974,46.11295681,44.03785489,84770,238930,50.64030273,-4.279283887
79,2807,Diatom4,8858,Aut,2016,LIFTON BRIDGE,153.0875768,0.030345335,1.332832165,0.014463472,32.25,7.56964285,46511,46272,14468,31.26728907,59.151413,61.34304207,57.96583851,84770,238930,50.64030273,-4.279283887
80,2664,Diatom2,8900,Spr,2016,MORETON POUND BRIDGE,207.7792097,0.050731486,2.371240888,0.033762252,40.45454545,7.488787882,57723,57428,17082,29.74507209,55.51574743,68.92394822,68.2165109,108940,227570,50.85420424,-4.451111467
81,3210,Diatom5,8900,Aut,2016,MORETON POUND BRIDGE,207.7792097,0.050731486,2.371240888,0.033762252,40.45454545,7.488787882,15407,15406,5262,34.15552382,78.90465384,70.29458599,65.68382353,108940,227570,50.85420424,-4.451111467
82,3046,Diatom2,8907,Spr,2016,HAM MILL BRIDGE,200.3716126,0.036867192,1.818066286,0.01678637,33.33333333,7.446969697,50468,50349,10975,21.797851,55.17759637,57.31451613,54.66517857,86860,234560,50.65785702,-4.341966071
